"Country Code","Country Name"
"3010","Afghanistan"
"4005","Albania"
"1010","Algeria"
"4008","Andorra"
"1020","Angola"
"2005","Anguilla"
"2010","Antigua and Barbuda"
"2020","Argentina"
"4007","Armenia"
"5020","Australia"
"4010","Austria"
"4012","Azerbaijan"
"2030","Bahamas"
"3020","Bahrain"
"3025","Bangladesh"
"2040","Barbados"
"4018","Belarus"
"4020","Belgium"
"2045","Belize"
"1025","Benin"
"2050","Bermuda"
"3027","Bhutan"
"2060","Bolivia"
"4025","Bosnia and Herzegovina"
"1030","Botswana"
"2070","Brazil"
"3030","Brunei Darussalam"
"4030","Bulgaria"
"1035","Burkina Faso"
"1040","Burundi"
"3050","Cambodia"
"1045","Cameroon"
"2090","Canada"
"1060","Cape Verde"
"2110","Cayman Islands"
"1070","Central African Republic"
"1080","Chad"
"2120","Chile"
"3068","China"
"3090","China, Hong Kong Special Administrative Region"
"3220","China, Macao Special Administrative Region"
"2130","Colombia"
"1090","Comoros"
"1100","Congo"
"5060","Cook Islands"
"2140","Costa Rica"
"1115","Côte d'Ivoire"
"4038","Croatia"
"2150","Cuba"
"3080","Cyprus"
"4045","Czech Republic"
"4040","Czechoslovakia, Former"
"3083","Dem. People's Rep. of Korea"
"1555","Dem. Republic of the Congo"
"4050","Denmark"
"1120","Djibouti"
"2160","Dominica"
"2170","Dominican Republic"
"2180","Ecuador"
"1125","Egypt"
"2190","El Salvador"
"1130","Equatorial Guinea"
"1135","Eritrea"
"4055","Estonia"
"1140","Ethiopia"
"2200","Falkland Islands"
"5070","Fiji"
"4070","Finland"
"4080","France"
"2210","French Guiana"
"1160","Gabon"
"1170","Gambia"
"4084","Georgia"
"4085","Germany"
"4090","Germany, Former Democratic Republic"
"4100","Germany, Former Federal Republic"
"1180","Ghana"
"4140","Greece"
"2230","Grenada"
"2240","Guadeloupe"
"10003","Guam (USA)"
"2250","Guatemala"
"1190","Guinea"
"1192","Guinea-Bissau"
"2260","Guyana"
"2270","Haiti"
"2280","Honduras"
"10004","Hong Kong (China)"
"4150","Hungary"
"4160","Iceland"
"3100","India"
"3110","Indonesia"
"3130","Iran (Islamic Republic of)"
"3140","Iraq"
"4170","Ireland"
"3150","Israel"
"4180","Italy"
"2290","Jamaica"
"3160","Japan"
"3170","Jordan"
"4182","Kazakhstan"
"1220","Kenya"
"5105","Kiribati"
"3190","Kuwait"
"4184","Kyrgyzstan"
"3200","Lao People's Dem. Republic"
"4186","Latvia"
"3210","Lebanon"
"1230","Lesotho"
"1240","Liberia"
"1250","Libyan Arab Jamahiriya"
"4188","Lithuania"
"4190","Luxembourg"
"10005","Macao (China)"
"1260","Madagascar"
"1270","Malawi"
"3236","Malaysia"
"3255","Maldives"
"1280","Mali"
"4200","Malta"
"5107","Marshall Islands"
"2300","Martinique"
"1290","Mauritania"
"1300","Mauritius"
"2310","Mexico"
"5108","Micronesia, (Fed. States of)"
"4260","Moldova, Republic of"
"4205","Monaco"
"3260","Mongolia"
"2320","Montserrat"
"1310","Morocco"
"1320","Mozambique"
"3270","Myanmar"
"1325","Namibia"
"5110","Nauru"
"3280","Nepal"
"4210","Netherlands"
"2330","Netherlands Antilles"
"10010","New Caledonia (France)"
"5150","New Zealand"
"2340","Nicaragua"
"1330","Niger"
"1340","Nigeria"
"5170","Niue"
"10009","Northern Mariana Islands (USA)"
"4220","Norway"
"3285","Oman"
"3290","Pakistan"
"5180","Palau"
"2350","Panama"
"5195","Papua New Guinea"
"2360","Paraguay"
"2370","Peru"
"3300","Philippines"
"10006","Pitcairn Islands (UK)"
"4230","Poland"
"10001","Polynesia (French)"
"4240","Portugal"
"2380","Puerto Rico"
"3320","Qatar"
"3325","Republic of Korea"
"1360","Reunion"
"4270","Romania"
"4272","Russian Federation"
"1370","Rwanda"
"2385","Saint Kitts and Nevis"
"2400","Saint Lucia"
"2410","Saint Pierre and Miquelon"
"2420","Saint Vincent and the Grenadines"
"5197","Samoa"
"10002","Samoa (USA)"
"4275","San Marino"
"1385","Sao Tome and Principe"
"3340","Saudi Arabia"
"1390","Senegal"
"4350","Serbia and Montenegro"
"1400","Seychelles"
"1410","Sierra Leone"
"3350","Singapore"
"4274","Slovakia"
"4276","Slovenia"
"5198","Solomon Islands"
"1420","Somalia"
"1430","South Africa"
"4280","Spain"
"3365","Sri Lanka"
"1470","Sudan"
"2430","Suriname"
"1480","Swaziland"
"4290","Sweden"
"4300","Switzerland"
"3370","Syrian Arab Republic"
"4301","Tajikistan"
"1546","Tanzania, United Republic of"
"4195","TFYR Macedonia"
"3380","Thailand"
"3087","Timor-Leste, Democratic Republic of"
"1510","Togo"
"10007","Tokelau (New Zealand)"
"5200","Tonga"
"2440","Trinidad and Tobago"
"1520","Tunisia"
"3400","Turkey"
"4302","Turkmenistan"
"2445","Turks and Caicos"
"5205","Tuvalu"
"1530","Uganda"
"4303","Ukraine"
"3405","United Arab Emirates"
"4308","United Kingdom"
"4310","United Kingdom-England and Wales"
"4320","United Kingdom-N Ireland"
"4330","United Kingdom-Scotland"
"2450","United States of America"
"2460","Uruguay"
"4304","USSR, Former"
"4335","Uzbekistan"
"5207","Vanuatu"
"2470","Venezuela (Bolivarian Republic of)"
"3408","Viet Nam"
"2085","Virgin Islands (UK)"
"2455","Virgin Islands (USA)"
"10008","Wallis & Futuna (France)"
"3420","Yemen"
"4340","Yugoslavia, Former"
"1560","Zambia"
"1570","Zimbabwe"
